,area_type,availability,location,total_sqft,bath,price,bhk
47,Super built-up  Area,Available Soon,Electronic City,1571.0,3.0,89.0,3
48,Super built-up  Area,Available Soon,Electronic City,1111.0,3.0,50.0,3
49,Super built-up  Area,Ready To Move,Electronic City,870.0,2.0,39.5,2
51,Super built-up  Area,Available Soon,Electronic City,1374.0,2.0,72.0,3
53,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.35,2
54,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.0,2
55,Super built-up  Area,Ready To Move,Electronic City,755.0,1.0,34.0,2
59,Super built-up  Area,Available Soon,Electronic City,1563.0,3.0,91.84,3
60,Super built-up  Area,Ready To Move,Electronic City,1652.0,3.0,70.0,3
62,Super built-up  Area,Available Soon,Electronic City,1025.0,2.0,54.5,2
64,Super built-up  Area,Ready To Move,Electronic City,1350.0,3.0,58.0,3
67,Super built-up  Area,Ready To Move,Electronic City,1700.0,3.0,75.0,3
69,Super built-up  Area,Ready To Move,Electronic City,1128.0,2.0,68.0,2
70,Built-up  Area,Ready To Move,Electronic City,700.0,1.0,35.0,1
71,Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,70.5,3
73,Super built-up  Area,Ready To Move,Electronic City,1571.0,3.0,105.0,3
77,Built-up  Area,Available Soon,Electronic City,1600.0,3.0,104.0,3
79,Built-up  Area,Ready To Move,Electronic City,1500.0,2.0,100.0,3
83,Super built-up  Area,Available Soon,Electronic City,1152.0,2.0,65.0,2
84,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,60.0,2
85,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.5,2
86,Super built-up  Area,Ready To Move,Electronic City,1200.0,2.0,59.0,2
87,Super built-up  Area,Available Soon,Electronic City,1152.0,2.0,65.75,2
89,Super built-up  Area,Available Soon,Electronic City,1070.0,2.0,55.0,2
90,Super built-up  Area,Ready To Move,Electronic City,1060.0,2.0,58.0,2
91,Super built-up  Area,Available Soon,Electronic City,1025.0,2.0,54.1,2
96,Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,78.0,3
97,Super built-up  Area,Available Soon,Electronic City,1213.0,2.0,59.32,2
98,Super built-up  Area,Ready To Move,Electronic City,1575.0,3.0,90.0,3
99,Built-up  Area,Ready To Move,Electronic City,435.0,1.0,19.5,1
100,Built-up  Area,Ready To Move,Electronic City,1449.0,3.0,100.0,3
102,Super built-up  Area,Ready To Move,Electronic City,1125.0,2.0,58.0,2
104,Super built-up  Area,Ready To Move,Electronic City,1575.0,3.0,101.0,3
106,Built-up  Area,Ready To Move,Electronic City,550.0,1.0,12.0,1
107,Super built-up  Area,Ready To Move,Electronic City,919.0,2.0,40.0,2
108,Super built-up  Area,Available Soon,Electronic City,1500.0,2.0,78.25,3
109,Super built-up  Area,Ready To Move,Electronic City,1363.0,2.0,79.0,2
112,Super built-up  Area,Ready To Move,Electronic City,1108.0,2.0,67.15,2
114,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.7,2
116,Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,51.0,2
118,Built-up  Area,Available Soon,Electronic City,1650.0,3.0,100.0,3
120,Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,49.0,2
122,Super built-up  Area,Ready To Move,Electronic City,1449.0,3.0,90.0,3
124,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,58.0,2
125,Super built-up  Area,Ready To Move,Electronic City,1210.0,2.0,54.0,2
126,Built-up  Area,Available Soon,Electronic City,1500.0,2.0,75.0,3
128,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,52.0,2
129,Super built-up  Area,Available Soon,Electronic City,2435.0,4.0,119.0,4
134,Super built-up  Area,Ready To Move,Electronic City,1073.0,2.0,60.0,2
135,Super built-up  Area,Available Soon,Electronic City,1500.0,2.0,78.0,3
136,Super built-up  Area,Available Soon,Electronic City,1070.0,2.0,47.0,2
137,Super built-up  Area,Ready To Move,Electronic City,1296.0,2.0,65.0,2
138,Super built-up  Area,Available Soon,Electronic City,1140.0,2.0,70.93,2
144,Super built-up  Area,Available Soon,Electronic City,2093.0,4.0,104.0,4
145,Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,53.9,2
146,Built-up  Area,Ready To Move,Electronic City,940.0,2.0,54.0,2
147,Super built-up  Area,Ready To Move,Electronic City,435.0,1.0,21.0,1
148,Super built-up  Area,Available Soon,Electronic City,1500.0,2.0,77.5,3
149,Super built-up  Area,Ready To Move,Electronic City,1631.0,3.0,80.0,3
150,Super built-up  Area,Available Soon,Electronic City,1355.0,2.0,67.0,2
153,Super built-up  Area,Ready To Move,Electronic City,435.0,1.0,22.0,1
155,Super built-up  Area,Ready To Move,Electronic City,1039.0,2.0,50.0,2
156,Super built-up  Area,Ready To Move,Electronic City,770.0,1.0,39.9,2
158,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,64.0,2
159,Super built-up  Area,Available Soon,Electronic City,605.0,1.0,13.31,1
161,Super built-up  Area,Available Soon,Electronic City,530.0,1.0,13.5,1
162,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,53.0,2
165,Super built-up  Area,Available Soon,Electronic City,1571.0,3.0,83.0,3
167,Super built-up  Area,Ready To Move,Electronic City,1350.0,3.0,66.0,3
168,Super built-up  Area,Ready To Move,Electronic City,1652.0,3.0,110.0,3
172,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.58,2
173,Built-up  Area,Ready To Move,Electronic City,635.0,1.0,28.0,1
174,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.4,2
177,Super built-up  Area,Available Soon,Electronic City,1355.0,2.0,72.9,2
181,Built-up  Area,Ready To Move,Electronic City,770.0,1.0,35.0,2
183,Super built-up  Area,Ready To Move,Electronic City,865.0,2.0,40.0,2
186,Super built-up  Area,Ready To Move,Electronic City,1108.0,2.0,63.0,2
187,Super built-up  Area,Available Soon,Electronic City,630.0,1.0,40.5,1
190,Super built-up  Area,Ready To Move,Electronic City,605.0,1.0,22.0,1
192,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,48.0,2
194,Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,70.0,3
195,Super built-up  Area,Ready To Move,Electronic City,635.0,1.0,28.0,1
196,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.45,2
197,Super built-up  Area,Ready To Move,Electronic City,890.0,2.0,40.0,2
202,Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,58.0,3
205,Super built-up  Area,Available Soon,Electronic City,630.0,1.0,33.7,1
209,Built-up  Area,Ready To Move,Electronic City,1400.0,3.0,90.0,3
210,Built-up  Area,Ready To Move,Electronic City,1287.0,3.0,55.0,3
211,Super built-up  Area,Ready To Move,Electronic City,1258.0,2.0,85.5,2
212,Built-up  Area,Ready To Move,Electronic City,1386.0,2.0,85.0,2
213,Built-up  Area,Ready To Move,Electronic City,550.0,1.0,27.0,1
214,Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,50.0,2
216,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,55.0,2
217,Super built-up  Area,Available Soon,Electronic City,1342.0,2.0,72.0,2
218,Built-up  Area,Ready To Move,Electronic City,1275.0,3.0,70.0,3
219,Super built-up  Area,Ready To Move,Electronic City,770.0,1.0,38.0,2
224,Super built-up  Area,Available Soon,Electronic City,1644.0,3.0,92.59,3
225,Built-up  Area,Ready To Move,Electronic City,1250.0,2.0,62.0,2
228,Super built-up  Area,Ready To Move,Electronic City,418.0,1.0,12.0,1
229,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,64.8,2
232,Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,55.0,2
233,Super built-up  Area,Available Soon,Electronic City,710.0,1.0,40.42,1
236,Super built-up  Area,Ready To Move,Electronic City,1275.0,3.0,63.43,3
237,Super built-up  Area,Ready To Move,Electronic City,1518.0,3.0,75.0,3
238,Built-up  Area,Available Soon,Electronic City,1090.0,2.0,31.48,1
241,Super built-up  Area,Ready To Move,Electronic City,1060.0,2.0,55.0,2
243,Super built-up  Area,Ready To Move,Electronic City,1353.0,2.0,75.0,2
245,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,67.0,2
246,Built-up  Area,Available Soon,Electronic City,1070.0,2.0,57.0,2
247,Built-up  Area,Ready To Move,Electronic City,1700.0,3.0,90.0,3
249,Super built-up  Area,Ready To Move,Electronic City,750.0,1.0,35.0,1
250,Built-up  Area,Ready To Move,Electronic City,1210.0,2.0,55.0,2
251,Built-up  Area,Available Soon,Electronic City,1070.0,2.0,60.0,2
256,Super built-up  Area,Available Soon,Electronic City,1615.0,3.0,97.0,3
258,Super built-up  Area,Ready To Move,Electronic City,1221.0,2.0,68.0,2
260,Built-up  Area,Ready To Move,Electronic City,1500.0,3.0,73.0,3
261,Super built-up  Area,Ready To Move,Electronic City,995.0,2.0,48.0,2
262,Super built-up  Area,Ready To Move,Electronic City,1342.0,2.0,90.0,2
264,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,63.5,2
265,Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,29.0,1
268,Super built-up  Area,Ready To Move,Electronic City,1575.0,3.0,94.5,3
269,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,48.0,2
270,Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,54.0,2
271,Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,70.0,3
272,Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,64.5,3
274,Super built-up  Area,Available Soon,Electronic City,2093.0,4.0,134.0,4
276,Super built-up  Area,Available Soon,Electronic City,1355.0,2.0,73.0,2
277,Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,64.99,3
278,Super built-up  Area,Ready To Move,Electronic City,1060.0,2.0,52.0,2
279,Super built-up  Area,Available Soon,Kanakpura Road,700.0,2.0,36.0,2
280,Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,88.0,3
281,Built-up  Area,Ready To Move,Kanakpura Road,950.0,2.0,57.0,2
282,Built-up  Area,Available Soon,Kanakpura Road,2250.0,4.0,110.0,4
284,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,26.0,1
286,Super built-up  Area,Available Soon,Kanakpura Road,525.0,2.0,21.53,1
289,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,27.25,1
290,Super built-up  Area,Available Soon,Kanakpura Road,1100.0,2.0,58.0,3
291,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,30.0,1
293,Super built-up  Area,Ready To Move,Kanakpura Road,1339.0,2.0,75.0,2
294,Super built-up  Area,Available Soon,Kanakpura Road,1100.0,3.0,58.0,3
295,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,26.0,1
297,Super built-up  Area,Ready To Move,Kanakpura Road,1843.0,3.0,95.84,3
298,Super built-up  Area,Available Soon,Kanakpura Road,1290.0,2.0,74.0,2
300,Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,86.58,3
302,Super built-up  Area,Ready To Move,Kanakpura Road,1542.0,2.0,85.0,3
303,Super built-up  Area,Available Soon,Kanakpura Road,1300.0,2.0,69.0,3
304,Super built-up  Area,Available Soon,Kanakpura Road,900.0,2.0,46.0,2
307,Super built-up  Area,Available Soon,Kanakpura Road,900.0,2.0,46.0,2
308,Super built-up  Area,Available Soon,Kanakpura Road,900.0,2.0,46.0,2
309,Super built-up  Area,Ready To Move,Kanakpura Road,1495.0,2.0,90.0,2
312,Carpet  Area,Ready To Move,Kanakpura Road,1560.0,3.0,92.0,3
313,Super built-up  Area,Ready To Move,Kanakpura Road,1135.0,2.0,58.0,2
314,Built-up  Area,Ready To Move,Kanakpura Road,3500.0,6.0,225.0,4
315,Super built-up  Area,Ready To Move,Kanakpura Road,1420.0,2.0,75.0,3
317,Super built-up  Area,Available Soon,Kanakpura Road,825.0,1.0,36.29,1
318,Super built-up  Area,Available Soon,Kanakpura Road,983.0,2.0,50.6,2
323,Super built-up  Area,Ready To Move,Kanakpura Road,1843.0,3.0,95.84,3
325,Super built-up  Area,Available Soon,Kanakpura Road,1366.0,3.0,76.85,2
327,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,25.0,1
329,Super built-up  Area,Available Soon,Kanakpura Road,2265.0,3.0,136.0,3
335,Plot  Area,Ready To Move,Kanakpura Road,2200.0,3.0,130.0,3
336,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,30.0,1
338,Super built-up  Area,Available Soon,Kanakpura Road,1051.0,2.0,56.74,2
339,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,30.0,1
344,Super built-up  Area,Available Soon,Kanakpura Road,1300.0,3.0,69.0,3
345,Super built-up  Area,Available Soon,Kanakpura Road,700.0,2.0,40.0,2
346,Carpet  Area,Available Soon,Kanakpura Road,458.0,1.0,19.695,1
347,Super built-up  Area,Ready To Move,Kanakpura Road,1700.0,3.0,88.0,3
350,Plot  Area,Ready To Move,Kanakpura Road,2775.0,3.0,165.0,4
351,Plot  Area,Ready To Move,Kanakpura Road,1900.0,3.0,99.0,3
352,Super built-up  Area,Available Soon,Kanakpura Road,1290.0,2.0,80.0,2
357,Super built-up  Area,Available Soon,Kanakpura Road,1868.0,3.0,113.0,3
359,Super built-up  Area,Available Soon,Kanakpura Road,1366.0,2.0,83.0,2
360,Super built-up  Area,Available Soon,Kanakpura Road,700.0,2.0,40.0,2
362,Super built-up  Area,Ready To Move,Kanakpura Road,1339.0,2.0,71.5,2
364,Super built-up  Area,Available Soon,Kanakpura Road,670.0,1.0,35.0,1
371,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,30.0,1
374,Super built-up  Area,Ready To Move,Kanakpura Road,1498.0,3.0,95.0,3
375,Super built-up  Area,Available Soon,Kanakpura Road,525.0,2.0,27.0,1
376,Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,86.91,3
377,Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,86.58,3
378,Super built-up  Area,Available Soon,Kanakpura Road,712.0,1.0,38.44,1
382,Super built-up  Area,Ready To Move,Kanakpura Road,1507.0,2.0,95.0,3
386,Super built-up  Area,Ready To Move,Kanakpura Road,1339.0,2.0,85.0,2
387,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,27.0,1
388,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,27.5,1
390,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,26.25,1
392,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,26.0,1
393,Built-up  Area,Ready To Move,Kanakpura Road,1050.0,2.0,59.0,3
394,Carpet  Area,Ready To Move,Kanakpura Road,1600.0,3.0,90.0,3
395,Super built-up  Area,Available Soon,Kanakpura Road,525.0,2.0,29.25,1
397,Super built-up  Area,Available Soon,Kanakpura Road,800.0,2.0,41.145,2
400,Super built-up  Area,Available Soon,Kanakpura Road,1100.0,3.0,56.57,3
403,Super built-up  Area,Ready To Move,Kanakpura Road,1843.0,3.0,96.2,3
407,Built-up  Area,Ready To Move,Kanakpura Road,1240.0,2.0,65.0,2
411,Super built-up  Area,Available Soon,Kanakpura Road,700.0,2.0,41.0,2
415,Super built-up  Area,Available Soon,Kanakpura Road,700.0,1.0,41.0,2
417,Super built-up  Area,Available Soon,Kanakpura Road,1100.0,3.0,58.0,3
418,Built-up  Area,Ready To Move,Kanakpura Road,1140.0,2.0,65.0,2
420,Super built-up  Area,Available Soon,Kanakpura Road,700.0,2.0,40.0,2
423,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,26.01,1
427,Built-up  Area,Ready To Move,Kanakpura Road,1322.0,2.0,70.0,2
428,Super built-up  Area,Available Soon,Kanakpura Road,1698.0,2.0,105.0,2
429,Super built-up  Area,Available Soon,Kanakpura Road,1300.0,3.0,69.0,3
430,Super built-up  Area,Available Soon,Kanakpura Road,1300.0,3.0,69.0,3
432,Super built-up  Area,Available Soon,Kanakpura Road,1167.0,2.0,63.0,2
436,Super built-up  Area,Available Soon,Kanakpura Road,1300.0,3.0,69.0,3
441,Super built-up  Area,Ready To Move,Kanakpura Road,1430.0,2.0,78.0,2
442,Super built-up  Area,Available Soon,Kanakpura Road,700.0,2.0,36.0,2
445,Super built-up  Area,Available Soon,Kanakpura Road,525.0,2.0,27.0,1
447,Super built-up  Area,Available Soon,Kanakpura Road,1100.0,3.0,58.0,3
452,Super built-up  Area,Available Soon,Kanakpura Road,1300.0,2.0,69.0,3
453,Built-up  Area,Ready To Move,Kanakpura Road,2000.0,3.0,105.0,3
454,Plot  Area,Ready To Move,Kanakpura Road,1200.0,2.0,62.0,2
456,Super built-up  Area,Ready To Move,Kanakpura Road,1843.0,3.0,95.0,3
459,Super built-up  Area,Available Soon,Kanakpura Road,900.0,2.0,46.29,2
460,Super built-up  Area,Available Soon,Kanakpura Road,850.0,1.0,37.32,1
462,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,30.0,1
463,Super built-up  Area,Available Soon,Kanakpura Road,1938.0,3.0,105.0,3
464,Super built-up  Area,Ready To Move,Kanakpura Road,1843.0,3.0,96.2,3
465,Super built-up  Area,Available Soon,Kanakpura Road,525.0,1.0,26.0,1
469,Super built-up  Area,Available Soon,Kanakpura Road,700.0,2.0,36.0,2
470,Super built-up  Area,Ready To Move,Kanakpura Road,1622.0,3.0,95.0,3
478,Super built-up  Area,Ready To Move,Other,1521.0,3.0,95.0,3
480,Super built-up  Area,Available Soon,Other,2732.0,4.0,204.0,4
484,Plot  Area,Ready To Move,Other,2250.0,3.0,148.0,3
485,Super built-up  Area,Ready To Move,Other,1175.0,2.0,73.5,2
488,Super built-up  Area,Ready To Move,Other,2770.0,4.0,290.0,3
490,Built-up  Area,Ready To Move,Other,600.0,1.0,15.0,1
491,Super built-up  Area,Available Soon,Other,1755.0,3.0,122.0,3
492,Super built-up  Area,Ready To Move,Other,1767.0,3.0,103.0,3
495,Super built-up  Area,Available Soon,Other,2475.0,4.0,186.0,4
497,Super built-up  Area,Ready To Move,Other,1760.0,2.0,123.0,3
499,Built-up  Area,Ready To Move,Other,1925.0,3.0,125.0,3
501,Super built-up  Area,Ready To Move,Other,1724.0,3.0,125.0,3
504,Built-up  Area,Ready To Move,Other,1296.0,2.0,81.0,2
505,Super built-up  Area,Ready To Move,Other,600.0,1.0,38.0,1
506,Plot  Area,Ready To Move,Other,660.0,1.0,48.0,1
510,Super built-up  Area,Available Soon,Other,1670.0,3.0,99.0,3
511,Super built-up  Area,Ready To Move,Other,1185.0,2.0,75.0,2
514,Built-up  Area,Available Soon,Other,3210.0,2.0,192.0,4
515,Super built-up  Area,Ready To Move,Other,840.0,2.0,45.0,2
516,Plot  Area,Ready To Move,Other,4395.0,3.0,240.0,3
517,Super built-up  Area,Ready To Move,Other,845.0,2.0,55.0,2
520,Super built-up  Area,Ready To Move,Other,1100.0,2.0,62.0,2
523,Super built-up  Area,Available Soon,Other,1358.0,2.0,80.58,2
524,Super built-up  Area,Ready To Move,Other,1569.0,3.0,101.0,3
525,Super built-up  Area,Available Soon,Other,1240.0,2.0,70.0,2
526,Super built-up  Area,Ready To Move,Other,2089.0,3.0,140.0,3
529,Built-up  Area,Ready To Move,Other,2511.0,3.0,205.0,3
531,Super built-up  Area,Ready To Move,Other,1660.0,2.0,105.0,3
532,Built-up  Area,Available Soon,Other,3203.5,2.0,224.5,4
533,Super built-up  Area,Available Soon,Other,1326.0,2.0,78.0,2
535,Super built-up  Area,Ready To Move,Other,1499.0,5.0,102.0,3
536,Built-up  Area,Ready To Move,Other,3000.0,7.0,210.0,6
537,Super built-up  Area,Available Soon,Other,708.0,2.0,37.0,2
538,Super built-up  Area,Ready To Move,Other,1060.0,2.0,58.06,2
539,Built-up  Area,Ready To Move,Other,1000.0,2.0,70.0,2
541,Super built-up  Area,Ready To Move,Other,1540.0,3.0,90.0,3
542,Plot  Area,Ready To Move,Other,2894.0,4.0,245.0,4
544,Built-up  Area,Ready To Move,Other,1200.0,2.0,65.0,2
545,Built-up  Area,Ready To Move,Other,1200.0,3.0,90.0,3
546,Super built-up  Area,Ready To Move,Other,2502.0,3.0,138.0,3
548,Plot  Area,Ready To Move,Other,2400.0,2.0,150.0,3
551,Super built-up  Area,Ready To Move,Other,966.0,2.0,49.9,2
552,Built-up  Area,Ready To Move,Other,1630.0,2.0,98.0,3
553,Built-up  Area,Ready To Move,Other,782.0,2.0,55.68,2
554,Super built-up  Area,Available Soon,Other,1260.0,2.0,66.78,2
555,Super built-up  Area,Ready To Move,Other,1800.0,3.0,120.0,3
556,Super built-up  Area,Ready To Move,Other,1413.0,2.0,75.0,3
557,Built-up  Area,Ready To Move,Other,3700.0,4.0,225.0,4
559,Super built-up  Area,Available Soon,Other,1100.0,2.0,75.0,2
560,Super built-up  Area,Ready To Move,Other,2061.0,3.0,200.0,3
561,Super built-up  Area,Available Soon,Other,5611.5,4.0,477.0,4
562,Built-up  Area,Ready To Move,Other,2650.0,4.0,150.0,4
563,Super built-up  Area,Available Soon,Other,1282.0,2.0,68.52,3
566,Super built-up  Area,Available Soon,Other,945.0,2.0,54.0,2
567,Super built-up  Area,Ready To Move,Other,1500.0,2.0,78.0,2
568,Built-up  Area,Ready To Move,Other,1870.0,3.0,110.0,3
570,Super built-up  Area,Ready To Move,Other,1535.0,3.0,83.0,3
574,Super built-up  Area,Available Soon,Other,1260.0,2.0,85.05,3
575,Built-up  Area,Ready To Move,Other,5000.0,8.0,250.0,8
576,Super built-up  Area,Available Soon,Other,3050.0,5.0,213.0,5
577,Super built-up  Area,Ready To Move,Other,1563.05,3.0,105.0,3
578,Super built-up  Area,Ready To Move,Other,1000.0,2.0,60.0,2
581,Super built-up  Area,Ready To Move,Other,1828.0,3.0,110.0,3
584,Super built-up  Area,Available Soon,Other,1710.0,4.0,91.31,3
585,Super built-up  Area,Ready To Move,Other,957.0,2.0,58.0,2
587,Super built-up  Area,Ready To Move,Other,2795.0,4.0,235.0,3
593,Super built-up  Area,Ready To Move,Other,1904.0,3.0,150.0,3
594,Super built-up  Area,Ready To Move,Other,2000.0,3.0,175.0,3
596,Super built-up  Area,Ready To Move,Other,1425.0,2.0,75.0,3
598,Super built-up  Area,Ready To Move,Other,450.0,1.0,11.0,1
600,Plot  Area,Ready To Move,Other,1500.0,3.0,100.0,3
601,Plot  Area,Ready To Move,Other,400.0,1.0,14.0,1
602,Super built-up  Area,Ready To Move,Other,705.0,1.0,67.0,1
604,Super built-up  Area,Ready To Move,Other,1700.0,3.0,155.0,3
605,Super built-up  Area,Available Soon,Other,1704.0,3.0,110.0,3
609,Super built-up  Area,Ready To Move,Other,1550.0,2.0,80.0,3
611,Super built-up  Area,Ready To Move,Other,1327.0,2.0,98.0,2
613,Built-up  Area,Ready To Move,Other,1783.0,3.0,115.0,3
616,Super built-up  Area,Ready To Move,Other,1285.0,2.0,82.0,2
617,Super built-up  Area,Ready To Move,Other,912.0,2.0,70.0,3
621,Super built-up  Area,Ready To Move,Other,1359.0,2.0,87.0,2
625,Super built-up  Area,Ready To Move,Other,1475.0,3.0,78.29,3
626,Super built-up  Area,Ready To Move,Other,1580.0,3.0,100.0,3
629,Super built-up  Area,Ready To Move,Other,1415.0,3.0,78.0,3
630,Super built-up  Area,Ready To Move,Other,1475.0,2.0,90.0,3
633,Built-up  Area,Ready To Move,Other,1080.0,2.0,72.0,2
634,Plot  Area,Ready To Move,Other,1500.0,2.0,115.0,2
635,Super built-up  Area,Ready To Move,Other,1900.0,3.0,119.0,3
638,Super built-up  Area,Ready To Move,Other,1148.0,2.0,60.0,2
640,Super built-up  Area,Ready To Move,Other,1290.0,2.0,110.0,2
643,Super built-up  Area,Available Soon,Other,1933.0,3.0,129.0,3
645,Built-up  Area,Ready To Move,Other,1060.0,2.0,60.0,2
646,Super built-up  Area,Available Soon,Other,645.0,1.0,16.45,1
647,Plot  Area,Ready To Move,Other,2600.0,8.0,180.0,8
648,Super built-up  Area,Available Soon,Other,645.0,1.0,16.45,1
649,Super built-up  Area,Ready To Move,Other,1644.0,3.0,84.0,3
650,Super built-up  Area,Ready To Move,Other,1285.0,2.0,72.5,2
652,Plot  Area,Available Soon,Other,4050.0,3.0,280.0,3
653,Super built-up  Area,Ready To Move,Other,2420.0,3.0,185.0,3
655,Built-up  Area,Ready To Move,Other,1060.0,2.0,55.0,2
656,Super built-up  Area,Ready To Move,Other,1270.0,2.0,93.0,2
658,Built-up  Area,Ready To Move,Other,1280.0,2.0,69.0,2
659,Plot  Area,Ready To Move,Other,1200.0,2.0,95.0,4
660,Super built-up  Area,Ready To Move,Other,3045.0,3.0,170.0,3
661,Plot  Area,Ready To Move,Other,2900.0,3.0,300.0,4
662,Super built-up  Area,Ready To Move,Other,1500.0,3.0,75.5,3
664,Super built-up  Area,Ready To Move,Other,1162.0,2.0,59.9,2
669,Super built-up  Area,Ready To Move,Other,1804.0,3.0,120.0,3
671,Super built-up  Area,Available Soon,Other,1868.0,3.0,131.0,3
672,Built-up  Area,Ready To Move,Other,883.0,2.0,45.0,2
674,Super built-up  Area,Ready To Move,Other,2026.0,3.0,132.0,3
